Implementation,MessageSize,Threads,Throughput_Gbps,Latency_us,CPU_Cycles,Context_Switches,L1_Misses,LLC_Misses
A1,1024,1,7.3510,1.09,18083700574,169,213389861,124089
A1,1024,2,13.9920,1.13,34694549562,4509,380964317,166828
A1,1024,4,14.8363,2.16,36786220933,39872,429507170,933383
A1,1024,8,14.7561,4.34,36539261112,5060,413985833,1563177
A1,4096,1,20.2203,1.58,18140285363,24,630741915,27044
A1,4096,2,38.4473,1.67,34676704974,1895,1205460989,329219
A1,4096,4,39.4902,3.27,36428459579,88604,1201133247,3964948
A1,4096,8,38.6762,6.69,37308622232,9408,1154734518,5192910
A1,65536,1,36.4870,14.22,18118772230,38,2093498186,58866
A1,65536,2,65.7144,15.79,34406236826,9149,3743602621,3128959
A1,65536,4,49.5895,41.91,34959742959,52260,2758378761,16555452
A1,65536,8,45.5317,91.31,35994176041,16177,2540235902,18932937
A1,1048576,1,42.7131,194.62,18043656731,40,2353556916,48248610
A1,1048576,2,28.8031,577.45,33105195351,8645,1584740031,212467459
A1,1048576,4,18.2788,1818.60,42324623007,94398,1016932306,223955080
A1,1048576,8,16.9668,3919.12,37678285962,64971,937095631,199901019
A2,1024,1,5.7079,1.40,17606070085,766,158968942,161831
A2,1024,2,11.0960,1.44,33996584700,3263,326282194,165729
A2,1024,4,12.8595,2.50,39378552342,105396,375790677,415631
A2,1024,8,13.2300,4.87,39508370525,14934,343099455,1182356
A2,4096,1,17.4305,1.84,17771914985,284,525718562,172558
A2,4096,2,31.4280,2.04,32183233179,14266,934954299,740207
A2,4096,4,33.8931,3.81,35651890009,169203,1011560938,2783778
A2,4096,8,34.2098,7.57,36399136035,54492,961576636,4331702
A2,65536,1,41.5983,12.46,17463162633,4190,1533493596,452871
A2,65536,2,65.4193,15.87,31626447697,12069,2374315177,7344992
A2,65536,4,46.5879,44.57,31232889975,33452,1625648718,16444192
A2,65536,8,46.3750,89.58,33528715536,12231,1637508187,18646048
A2,1048576,1,49.1505,169.15,17236355459,5308,1745254269,38003488
A2,1048576,2,53.1787,312.71,32734375111,6923,1886903244,200590732
A2,1048576,4,28.7142,1158.79,39252878007,68432,1020566844,220007165
A2,1048576,8,26.5684,2504.10,36552812193,15913,930550851,204673571
A3,1024,1,1.7577,4.59,16851992966,13946,143665960,220256
A3,1024,2,2.9858,5.32,29076798791,89801,264706730,383050
A3,1024,4,4.1272,7.85,43233694060,505713,515423267,48047
A3,1024,8,5.0758,12.78,48470928103,254260,512648045,80607
A3,4096,1,5.8493,5.53,17918751299,376,268202236,96173
A3,4096,2,10.8902,5.94,33325864774,31739,510411698,138675
A3,4096,4,14.4344,8.98,42481289948,504764,716516474,97615
A3,4096,8,17.1351,15.14,46401104719,249317,738067640,498863
A3,65536,1,29.5257,17.58,17924729548,129,1044672668,102494
A3,65536,2,55.0233,18.86,33064353633,9316,1914423686,544730
A3,65536,4,45.7253,45.45,30403499192,172453,1457418937,5137941
A3,65536,8,41.1642,100.91,33395807962,35067,1346376326,8004660
A3,1048576,1,39.5473,210.25,17943234758,146,1340087258,1930584
A3,1048576,2,37.6145,442.28,19886202995,13323,994080220,27653288
A3,1048576,4,26.2782,1265.87,26478970320,25478,567348811,31427913
A3,1048576,8,25.1172,2647.04,33823341836,9775,682936534,39276146
